KHM,Quarter,mahieu,lat,lon,Quarter,DO,Temperature,pH,Salinity,NH3,PO4,BOD5,TSS,Coliform,Alkalinity,Transparency,H2S,COD,CN,As,Cd,Pb,Cu,Hg,Zn,Total_Cr,Alkalinity_source,Transparency_source
NB5,,NB5,429449,2319397,,5.9,,8.08,,,,,13.7,1.5,,,0.02482891350815079,,,0.0025,0.0001,0.00045,0.00045,0.00025,0.0104,,,
NB5,,NB5,429449,2319397,,6.06,,8.02,,,,,8.2,1.5,,,0.0268314352950605,,,0.0022,0.0001,0.00045,0.00045,0.00025,0.0114,,,
NB5,,NB5,429449,2319397,,5.89,,8,,,,,10.7,1.5,,,0.04485471255835874,,,0.0027,0.0001,0.00045,0.00045,0.00025,0.0104,,,
NB5,,NB5,429449,2319397,,5.85,,8.06,,,,,13.4,1.5,,,0.03943895412648814,,,0.002,0.0001,0.00045,0.00045,0.00025,0.0123,,,
NB5,,NB5,429449,2319397,,5.81,,8.07,,,,,12.5,1.5,,,0.04811308479318967,,,0.0025,0.0001,0.00045,0.00045,0.00025,0.0127,,,
NB5,,NB5,429449,2319397,,6.01,,8,,,,,8.5,1,,,0.03207612475981697,,,0.0022,0.0001,0.0001,0.0005,0.0001,0.0122,,,
NB5,,NB5,429449,2319397,,5.74,,8.03,,,,,11.3,1,,,0.03967015332773398,,,0.0014,0.0001,0.0001,0.0005,0.0001,0.0068,,,
NB5,,NB5,429449,2319397,,5.77,,8.1,,,,,12.7,1,,,0.04699374598609083,,,0.0023,0.0001,0.0001,0.00015,0.0001,0.0221,,,
NB5,,NB5,429449,2319397,,5.74,,8.12,,,,,10.6,1,,,0.033477735154693655,,,0.0024,0.0001,0.0001,0.00015,0.0001,0.0379,,,
NB6,,NB6,422550,2322158,,5.74,,7.7,,,,,26.5,90,,,0.04420241554812179,,,0.0009,0.0001,0.00045,0.00045,0.00025,0.0094,,,
NB6,,NB6,422550,2322158,,5.07,,7.62,,,,,25.4,40,,,0.029458658190793942,,,0.0042,0.0002,0.00045,0.0024,0.00025,0.0083,,,
NB6,,NB6,422550,2322158,,5.01,,7.54,,,,,34.2,1.5,,,0.03283185061465587,,,0.0036,0.0001,0.00045,0.00045,0.00025,0.0115,,,
NB6,,NB6,422550,2322158,,5.48,,7.65,,,,,9.5,1.5,,,0.03261009000708224,,,0.0031,0.0002,0.00045,0.00045,0.00025,0.0101,,,
NB6,,NB6,422550,2322158,,5.96,,7.96,,,,,10.6,70,,,0.02427189053992963,,,0.0012,0.0001,0.00045,0.00045,0.00025,0.0065,,,
NB6,,NB6,422550,2322158,,5.91,,7.93,,,,,17.3,90,,,0.04468925183560637,,,0.0035,0.0001,0.00045,0.00045,0.00025,0.0128,,,
NB6,,NB6,422550,2322158,,5.88,,7.89,,,,,19.4,1.5,,,0.0315894380555073,,,0.0031,0.0001,0.00045,0.00045,0.00025,0.0095,,,
NB6,,NB6,422550,2322158,,5.82,,7.85,,,,,18.2,150,,,0.03762329189215012,,,0.0031,0.0001,0.00045,0.00045,0.00025,0.0117,,,
NB6,,NB6,422550,2322158,,5.86,,7.92,,,,,10.7,1.5,,,0.044588443043804674,,,0.0026,0.0001,0.00045,0.00045,0.00025,0.0128,,,
NB6,,NB6,422550,2322158,,5.96,,7.9,,,,,11.5,1.5,,,0.04403846968242174,,,0.0032,0.0001,0.00045,0.00045,0.00025,0.0111,,,
NB6,,NB6,422550,2322158,,5.93,,7.84,,,,,18.4,1.5,,,0.0476770164808303,,,0.0025,0.0001,0.00045,0.00045,0.00025,0.0091,,,
NB6,,NB6,422550,2322158,,5.97,,7.86,,,,,18.7,1.5,,,0.03613880384376495,,,0.0022,0.0001,0.00045,0.00045,0.00025,0.0102,,,
NB6,,NB6,422550,2322158,,5.97,,7.95,,,,,10.4,1,,,0.03212216692225412,,,0.0018,0.0001,0.0001,0.0005,0.0001,0.0098,,,
NB6,,NB6,422550,2322158,,5.88,,7.94,,,,,17.5,1,,,0.03638565943382749,,,0.0012,0.0001,0.0001,0.0012,0.0001,0.0116,,,
NB6,,NB6,422550,2322158,,5.92,,7.92,,,,,18.4,1,,,0.02030844418491769,,,0.0022,0.0001,0.0001,0.00015,0.0001,0.0079,,,
NB6,,NB6,422550,2322158,,5.9,,7.9,,,,,16.5,1,,,0.022157445405684015,,,0.0013,0.0001,0.0015,0.0014,0.0001,0.0302,,,
NB7,,NB7,427799,2325055,,5.62,,7.5,,,,,17.3,1.5,,,0.023180291636296188,,,0.0015,0.0001,0.00045,0.00045,0.00025,0.001,,,
NB7,,NB7,427799,2325055,,6.59,,7.51,,,,,17.4,1.5,,,0.02608486837446705,,,0.0028,0.0001,0.00045,0.0009,0.00025,0.0073,,,
NB7,,NB7,427799,2325055,,6.02,,7.48,,,,,19.7,40,,,0.04329785958933711,,,0.0018,0.0001,0.00045,0.00045,0.00025,0.0091,,,
NB7,,NB7,427799,2325055,,6.25,,7.59,,,,,8.5,1.5,,,0.026967777638527802,,,0.002,0.0001,0.00045,0.00045,0.00025,0.0088,,,
NB7,,NB7,427799,2325055,,5.89,,7.88,,,,,8.2,1.5,,,0.032652409447742475,,,0.001,0.0001,0.00045,0.00045,0.00025,0.0058,,,
NB7,,NB7,427799,2325055,,5.84,,7.8,,,,,9.4,1.5,,,0.06,,,0.0021,0.0001,0.00045,0.00045,0.00025,0.0074,,,
NB7,,NB7,427799,2325055,,5.8,,7.72,,,,,11.1,1.5,,,0.03291281257795954,,,0.0024,0.0001,0.00045,0.00045,0.00025,0.0138,,,
NB7,,NB7,427799,2325055,,5.85,,7.72,,,,,10.7,1.5,,,0.04894091025051386,,,0.0026,0.0001,0.00045,0.00045,0.00025,0.0063,,,
NB7,,NB7,427799,2325055,,5.82,,7.84,,,,,9.1,1.5,,,0.026693921518616402,,,0.002,0.0001,0.00045,0.00045,0.00025,0.0086,,,
